item_name	item_price	item_attribute_name	item_attribute	website_category	link
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Szélesség (cm)	59,5 cm	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Magasság (cm)	188,8 cm	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Mélység (cm)	66,3 cm	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Súly (kg)	62 kg	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Ajtók száma	2 db	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Hűtő űrtartalom	228 l	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Hűtő polc	4 db	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Ajtórekesz	3 db	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Zöldségtároló fiók	1 db	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Fagyasztó űrtartalom	111 l	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
