"item_name_short"|"colour"|"item_name"|"producer"|"type"|"energy_class"|"energy_consumption"|"guarantee_month"|"width_cm"|"height_cm"|"depth_cm"|"weight_kg"|"n_doors"|"cooling_capacity_l"|"freezing_capacity_l"|"item_price_edigital"|"link_edigital"|"articleID_edigital"|"item_price_mediamarkt"|"link_mediamarkt"|"articleID_mediamarkt"|"website"|"common_item_id"
"BOSCH KSV36VI3P"|"grey"|"Bosch KSV36VI3P egyajtós hûtõszekrény A++"|"BOSCH"|"Refrigerator"|"A++"|112|24|60|186|65|69|1|346|0|204990|"https://edigital.hu/egyajtos-huto/bosch-ksv36vi3p-egyajtos-hutoszekreny-p626747"|626747|NA|NA|NA|"edigital"|169
"Beko BCSA283E2S"|"white"|"Beko BCSA283E2S beépíthetõ kombinált hûtõszekrény, A+"|"BEKO"|"Refrigerator"|"A+"|302|60|54|178|54|NA|2|NA|78|99990|"https://edigital.hu/beepitheto-huto/beko-bcsa283e2s-beepitheto-kombinalt-hutoszekreny-p503569"|503569|NA|NA|NA|"edigital"|170
"Beko BU 1153"|NA|"Beko BU 1153 pult alá építhetõ hûtõ"|"BEKO"|"Refrigerator"|"A++"|138|60|60|82|54|28|1|92|15|77990|"https://edigital.hu/beepitheto-huto/beko-bu-1153-pult-ala-epitheto-huto-p489247"|489247|NA|NA|NA|"edigital"|171
"Beko CSA270M30W"|"white"|"Beko CSA270M30W alulfagyasztós hûtõszekrény, A++"|"BEKO"|"Refrigerator"|"A++"|219|24|60|171|60|53|2|175|87|89990|"https://edigital.hu/alulfagyasztos-huto/beko-csa270m30w-alulfagyasztos-hutoszekreny-p544827"|544827|NA|NA|NA|"edigital"|172
"Beko CSA300M20X"|"grey"|"Beko CSA300M20X alulfagyasztós hûtõszekrény"|"BEKO"|"Refrigerator"|"A+"|267|24|54|181|59|54|2|204|87|89990|"https://edigital.hu/alulfagyasztos-huto/beko-csa300m20x-alulfagyasztos-hutoszekreny-p599094"|599094|NA|NA|NA|"edigital"|173
"Beko FBI 5850"|"white"|"Beko FBI 5850 beépíthetõ fagyasztó"|"BEKO"|"Freezer"|"A+"|NA|60|54|177|54|62|1|NA|196|149990|"https://edigital.hu/fagyasztoszekreny/beko-fbi-5850-beepitheto-fagyaszto-p489248"|489248|NA|NA|NA|"edigital"|174
"Beko GN163130"|"grey"|"Beko GN-163130 X Side By Side hûtõszekrény, A++, Neo Frost"|"BEKO"|"Refrigerator"|"A++"|381|60|91|182|72|114|2|353|190|249990|"https://edigital.hu/side-side-huto/beko-gn-163130-x-side-side-hutoszekreny-neo-frost-p561392"|561392|NA|NA|NA|"edigital"|175
"Beko GN163130ZGB"|"black"|"Beko GN163130ZGB Side by side hûtõszekrény A++"|"BEKO"|"Refrigerator"|"A++"|381|60|97|179|72|NA|2|368|190|289990|"https://edigital.hu/side-side-huto/beko-gn163130zgb-side-side-hutoszekreny-p598347"|598347|NA|NA|NA|"edigital"|176
"Beko RCNA 366E30ZXP"|"grey"|"Beko RCNA 366E30ZXP alulfagyasztós hûtõszekrény, A++ Neo Frost"|"BEKO"|"Refrigerator"|"A++"|270|60|60|186|66|NA|2|215|109|159990|"https://edigital.hu/alulfagyasztos-huto/beko-rcna-366e30zxp-alulfagyasztos-hutoszekreny-neo-frost-p647713"|647713|NA|NA|NA|"edigital"|177
"Beko RCNA 366I30W"|"white"|"Beko RCNA 366I30W alulfagyasztós hûtõszekrény, A++ Neo Frost"|"BEKO"|"Refrigerator"|"A++"|264|60|60|186|66|NA|2|215|109|139990|"https://edigital.hu/alulfagyasztos-huto/beko-rcna-366i30w-alulfagyasztos-hutoszekreny-neo-frost-p647712"|647712|NA|NA|NA|"edigital"|178
