item_name_short	item_name	producer	type	energy_class	energy_consumption	guarantee_month	colour	width_cm	height_cm	depth_cm	weight_kg	n_doors	cooling_capacity_l	freezing_capacity_l	item_price_edigital	website_category_edigital	link_edigital	articleID_edigital	item_price_mediamarkt	website_category_mediamarkt	link_mediamarkt	articleID_mediamarkt
AEG RCB53421LX	AEG RCB53421LX kombinált hűtőszekrény	AEG	Refrigerator	A++	239 kWh	24	grey	60 cm	185 cm	65 cm	66.1 kg	2	220 l	109 l	NA	NA	NA	NA	149993	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rcb53421lx-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1255793.html	1255793
AEG RCB53426TX	AEG RCB53426TX No Frost kombinált hűtőszekrény	AEG	Refrigerator	A++	239 kWh	24	grey	59.5 cm	184.5 cm	64.7 cm	NA	2	220 l	91 l	NA	NA	NA	NA	176993	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rcb53426tx-no-frost-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1255794.html	1255794
AEG RCB73821TY	AEG RCB73821TY No Frost kombinált hűtőszekrény	AEG	Refrigerator	A++	274 kWh	24	black	60 cm	201 cm	65 cm	NA	2	244 l	94 l	NA	NA	NA	NA	179799	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rcb73821ty-no-frost-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1287122.html	1287122
AEG RCB83724MX	AEG RCB83724MX No Frost kombinált hűtőszekrény	AEG	Refrigerator	A++	248 kWh	24	grey	60 cm	200 cm	65 cm	NA	2	250 l	91 l	NA	NA	NA	NA	231993	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rcb83724mx-no-frost-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1255795.html	1255795
AEG RCB93734KX	AEG RCB93734KX No Frost hűtőszekrény	AEG	Refrigerator	A+++	165 kWh	24	grey	60 cm	200 cm	65 cm	82 kg	NA	250 l	91 l	NA	NA	NA	NA	272796	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rcb93734kx-no-frost-h%C5%B1t%C5%91szekr%C3%A9ny-1255796.html	1255796
AEG RDB72321AX	AEG RDB72321AX Kombinált hűtőszekrény, 140 cm, A++	AEG	Refrigerator	A++	168 kWh/év	24	grey	54,5	140,4	60,4	45,55	2 db	180 l	43 l	99 990 Ft	edigital_refrigerator	https://edigital.hu/felulfagyasztos-huto/aeg-rdb72321ax-kombinalt-hutoszekreny-140-cm-p509781	509781	NA	NA	NA	NA
AEG RDB72321AX	AEG RDB72321AX felülfagyasztós hűtőszekrény	AEG	Refrigerator	A++	183 kWh	24	grey	54.5 cm	140.4 cm	60.4 cm	45.5 kg	2	180 l	43 l	NA	NA	NA	NA	99993	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rdb72321ax-fel%C3%BClfagyaszt%C3%B3s-h%C5%B1t%C5%91szekr%C3%A9ny-1229318.html	1229318
AEG RKE63221DW	AEG RKE63221DW hűtőszekrény	AEG	Refrigerator	A++	109 kWh	24	white	60 cm	155 cm	67 cm	56 kg	1	314 l	NA	NA	NA	NA	NA	118796	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rke63221dw-h%C5%B1t%C5%91szekr%C3%A9ny-1255783.html	1255783
AEG RKE63221DX	AEG RKE63221DX Hűtőszekrény, 155 cm, A++	AEG	Refrigerator	A++	NA	24	grey	59,5	155	66,8	55,3	1 db	314 l	nincs fagyasztó rész	124 990 Ft	edigital_refrigerator	https://edigital.hu/egyajtos-huto/aeg-rke63221dx-hutoszekreny-155-cm-p557496	557496	NA	NA	NA	NA
AEG RKE63221DX	AEG RKE63221DX hűtőszekrény	AEG	Refrigerator	A++	109 kWh	24	grey	60 cm	155 cm	67 cm	56 kg	1	314 l	NA	NA	NA	NA	NA	124793	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rke63221dx-h%C5%B1t%C5%91szekr%C3%A9ny-1255784.html	1255784
