"common_item_id"|"common_item_name"|"item_name_short"|"colour"|"producer"|"type"|"energy_class"|"energy_consumption"|"guarantee_month"|"width_cm"|"height_cm"|"depth_cm"|"weight_kg"|"n_doors"|"cooling_capacity_l"|"freezing_capacity_l"|"total_capacity"|"website"|"item_price"|"link"
45|"AMICA KS 15616 pink"|"AMICA KS 15616"|"pink"|"AMICA"|"Refrigerator"|"A++"|133|24|55|86|62|28|1|93|13|106|"edigital"|74990|"https://edigital.hu/felulfagyasztos-huto/amica-ks-15616-p-hutoszekreny-rozsaszin-p508185"
46|"Amica 1171143 BK3165.2F white"|"Amica 1171143 BK3165.2F"|"white"|"AMICA"|"Refrigerator"|"A+"|268|24|54|178|54|NA|2|182|56|238|"edigital"|144990|"https://edigital.hu/beepitheto-huto/amica-1171143-bk31652f-beepitheto-alulfagyasztos-hutoszekreny-p667146"
47|"Amica 1171144 BK3165.4AA white"|"Amica 1171144 BK3165.4AA"|"white"|"AMICA"|"Refrigerator"|"A++"|204|24|54|178|54|NA|2|182|60|242|"edigital"|139990|"https://edigital.hu/beepitheto-huto/amica-1171144-bk31654aa-beepitheto-alulfagyasztos-hutoszekreny-p667147"
48|"Amica 1171146 BK2665.4 white"|"Amica 1171146 BK2665.4"|"white"|"AMICA"|"Refrigerator"|"A+"|252|24|54|157|54|NA|2|148|60|208|"edigital"|99990|"https://edigital.hu/alulfagyasztos-huto/amica-1171146-bk26654-alulfagyasztos-hutoszekreny-p691630"
49|"Amica 1171254 BK3185.4NFVCAA white"|"Amica 1171254 BK3185.4NFVCAA"|"white"|"AMICA"|"Refrigerator"|"A++"|223|24|54|178|54|NA|2|190|56|246|"edigital"|184990|"https://edigital.hu/alulfagyasztos-huto/amica-1171254-bk31854nfvcaa-alulfagyasztos-hutoszekreny-p691631"
50|"Amica 1171256 BK3185.4DFCAA white"|"Amica 1171256 BK3185.4DFCAA"|"white"|"AMICA"|"Refrigerator"|"A++"|223|24|54|177|54|NA|2|190|56|246|"edigital"|209990|"https://edigital.hu/beepitheto-huto/amica-1171256-bk31854dfcaa-beepitheto-alulfagyasztos-hutoszekreny-p667149"
51|"Amica 1171455 BK3195.4DFVCAA white"|"Amica 1171455 BK3195.4DFVCAA"|"white"|"AMICA"|"Refrigerator"|"A++"|223|24|54|178|54|NA|2|190|56|246|"edigital"|209990|"https://edigital.hu/alulfagyasztos-huto/amica-1171455-bk31954dfvcaa-beepitheto-alulfagyasztos-hutoszekreny-p691632"
52|"Amica 1171456 BK3195.4NFVC white"|"Amica 1171456 BK3195.4NFVC"|"white"|"AMICA"|"Refrigerator"|"A+"|284|24|54|178|54|NA|2|190|56|246|"edigital"|169990|"https://edigital.hu/alulfagyasztos-huto/amica-1171456-bk31954nfvc-beepitheto-alulfagyasztos-hutoszekreny-p691633"
53|"Amica 1179024 WCF1K15B7 black"|"Amica 1179024 WCF1K15B7"|"black"|"AMICA"|"Wine refrigerator"|"B"|185|24|15|82|57|18|1|20|NA|20|"edigital"|99990|"https://edigital.hu/borhuto/amica-1179024-wcf1k15b7-borhuto-p691623"
54|"Amica 1179055 WCB2K60B36.1 black"|"Amica 1179055 WCB2K60B36.1"|"black"|"AMICA"|"Wine refrigerator"|"A"|140|24|59|60|51|32|1|75|0|75|"edigital"|279990|"https://edigital.hu/borhuto/amica-1179055-wcb2k60b361-borhuto-p691624"
